filepaths,labels,processed_filepaths
raw\train\glioma\Tr-gl_1120.jpg,glioma,processed\train\glioma\Tr-gl_1120.jpg
raw\train\glioma\Tr-gl_1121.jpg,glioma,processed\train\glioma\Tr-gl_1121.jpg
raw\train\glioma\Tr-gl_1122.jpg,glioma,processed\train\glioma\Tr-gl_1122.jpg
raw\train\glioma\Tr-gl_1123.jpg,glioma,processed\train\glioma\Tr-gl_1123.jpg
raw\train\glioma\Tr-gl_1124.jpg,glioma,processed\train\glioma\Tr-gl_1124.jpg
raw\train\glioma\Tr-gl_1125.jpg,glioma,processed\train\glioma\Tr-gl_1125.jpg
raw\train\glioma\Tr-gl_1126.jpg,glioma,processed\train\glioma\Tr-gl_1126.jpg
raw\train\glioma\Tr-gl_1127.jpg,glioma,processed\train\glioma\Tr-gl_1127.jpg
raw\train\glioma\Tr-gl_1128.jpg,glioma,processed\train\glioma\Tr-gl_1128.jpg
raw\train\glioma\Tr-gl_1129.jpg,glioma,processed\train\glioma\Tr-gl_1129.jpg
raw\train\glioma\Tr-gl_1130.jpg,glioma,processed\train\glioma\Tr-gl_1130.jpg
raw\train\glioma\Tr-gl_1131.jpg,glioma,processed\train\glioma\Tr-gl_1131.jpg
raw\train\glioma\Tr-gl_1132.jpg,glioma,processed\train\glioma\Tr-gl_1132.jpg
raw\train\glioma\Tr-gl_1133.jpg,glioma,processed\train\glioma\Tr-gl_1133.jpg
raw\train\glioma\Tr-gl_1134.jpg,glioma,processed\train\glioma\Tr-gl_1134.jpg
raw\train\glioma\Tr-gl_1135.jpg,glioma,processed\train\glioma\Tr-gl_1135.jpg
raw\train\glioma\Tr-gl_1136.jpg,glioma,processed\train\glioma\Tr-gl_1136.jpg
raw\train\glioma\Tr-gl_1137.jpg,glioma,processed\train\glioma\Tr-gl_1137.jpg
raw\train\glioma\Tr-gl_1138.jpg,glioma,processed\train\glioma\Tr-gl_1138.jpg
raw\train\glioma\Tr-gl_1139.jpg,glioma,processed\train\glioma\Tr-gl_1139.jpg
raw\train\glioma\Tr-gl_1140.jpg,glioma,processed\train\glioma\Tr-gl_1140.jpg
raw\train\glioma\Tr-gl_1141.jpg,glioma,processed\train\glioma\Tr-gl_1141.jpg
raw\train\glioma\Tr-gl_1142.jpg,glioma,processed\train\glioma\Tr-gl_1142.jpg
raw\train\glioma\Tr-gl_1143.jpg,glioma,processed\train\glioma\Tr-gl_1143.jpg
raw\train\glioma\Tr-gl_1144.jpg,glioma,processed\train\glioma\Tr-gl_1144.jpg
raw\train\glioma\Tr-gl_1145.jpg,glioma,processed\train\glioma\Tr-gl_1145.jpg
raw\train\glioma\Tr-gl_1146.jpg,glioma,processed\train\glioma\Tr-gl_1146.jpg
raw\train\glioma\Tr-gl_1147.jpg,glioma,processed\train\glioma\Tr-gl_1147.jpg
raw\train\glioma\Tr-gl_1148.jpg,glioma,processed\train\glioma\Tr-gl_1148.jpg
raw\train\glioma\Tr-gl_1149.jpg,glioma,processed\train\glioma\Tr-gl_1149.jpg
raw\train\glioma\Tr-gl_1150.jpg,glioma,processed\train\glioma\Tr-gl_1150.jpg
raw\train\glioma\Tr-gl_1151.jpg,glioma,processed\train\glioma\Tr-gl_1151.jpg
raw\train\glioma\Tr-gl_1152.jpg,glioma,processed\train\glioma\Tr-gl_1152.jpg
raw\train\glioma\Tr-gl_1153.jpg,glioma,processed\train\glioma\Tr-gl_1153.jpg
raw\train\glioma\Tr-gl_1154.jpg,glioma,processed\train\glioma\Tr-gl_1154.jpg
raw\train\glioma\Tr-gl_1155.jpg,glioma,processed\train\glioma\Tr-gl_1155.jpg
raw\train\glioma\Tr-gl_1156.jpg,glioma,processed\train\glioma\Tr-gl_1156.jpg
raw\train\glioma\Tr-gl_1157.jpg,glioma,processed\train\glioma\Tr-gl_1157.jpg
raw\train\glioma\Tr-gl_1158.jpg,glioma,processed\train\glioma\Tr-gl_1158.jpg
raw\train\glioma\Tr-gl_1159.jpg,glioma,processed\train\glioma\Tr-gl_1159.jpg
raw\train\glioma\Tr-gl_1160.jpg,glioma,processed\train\glioma\Tr-gl_1160.jpg
raw\train\glioma\Tr-gl_1161.jpg,glioma,processed\train\glioma\Tr-gl_1161.jpg
raw\train\glioma\Tr-gl_1162.jpg,glioma,processed\train\glioma\Tr-gl_1162.jpg
raw\train\glioma\Tr-gl_1163.jpg,glioma,processed\train\glioma\Tr-gl_1163.jpg
raw\train\glioma\Tr-gl_1164.jpg,glioma,processed\train\glioma\Tr-gl_1164.jpg
raw\train\glioma\Tr-gl_1165.jpg,glioma,processed\train\glioma\Tr-gl_1165.jpg
raw\train\glioma\Tr-gl_1166.jpg,glioma,processed\train\glioma\Tr-gl_1166.jpg
raw\train\glioma\Tr-gl_1167.jpg,glioma,processed\train\glioma\Tr-gl_1167.jpg
raw\train\glioma\Tr-gl_1168.jpg,glioma,processed\train\glioma\Tr-gl_1168.jpg
raw\train\glioma\Tr-gl_1169.jpg,glioma,processed\train\glioma\Tr-gl_1169.jpg
raw\train\glioma\Tr-gl_1170.jpg,glioma,processed\train\glioma\Tr-gl_1170.jpg
raw\train\glioma\Tr-gl_1171.jpg,glioma,processed\train\glioma\Tr-gl_1171.jpg
raw\train\glioma\Tr-gl_1172.jpg,glioma,processed\train\glioma\Tr-gl_1172.jpg
raw\train\glioma\Tr-gl_1173.jpg,glioma,processed\train\glioma\Tr-gl_1173.jpg
raw\train\glioma\Tr-gl_1174.jpg,glioma,processed\train\glioma\Tr-gl_1174.jpg
raw\train\glioma\Tr-gl_1175.jpg,glioma,processed\train\glioma\Tr-gl_1175.jpg
raw\train\glioma\Tr-gl_1176.jpg,glioma,processed\train\glioma\Tr-gl_1176.jpg
raw\train\glioma\Tr-gl_1177.jpg,glioma,processed\train\glioma\Tr-gl_1177.jpg
raw\train\glioma\Tr-gl_1178.jpg,glioma,processed\train\glioma\Tr-gl_1178.jpg
raw\train\glioma\Tr-gl_1179.jpg,glioma,processed\train\glioma\Tr-gl_1179.jpg
raw\train\glioma\Tr-gl_1180.jpg,glioma,processed\train\glioma\Tr-gl_1180.jpg
raw\train\glioma\Tr-gl_1181.jpg,glioma,processed\train\glioma\Tr-gl_1181.jpg
raw\train\glioma\Tr-gl_1182.jpg,glioma,processed\train\glioma\Tr-gl_1182.jpg
raw\train\glioma\Tr-gl_1183.jpg,glioma,processed\train\glioma\Tr-gl_1183.jpg
raw\train\glioma\Tr-gl_1184.jpg,glioma,processed\train\glioma\Tr-gl_1184.jpg
raw\train\glioma\Tr-gl_1185.jpg,glioma,processed\train\glioma\Tr-gl_1185.jpg
raw\train\glioma\Tr-gl_1186.jpg,glioma,processed\train\glioma\Tr-gl_1186.jpg
raw\train\glioma\Tr-gl_1187.jpg,glioma,processed\train\glioma\Tr-gl_1187.jpg
raw\train\glioma\Tr-gl_1188.jpg,glioma,processed\train\glioma\Tr-gl_1188.jpg
raw\train\glioma\Tr-gl_1189.jpg,glioma,processed\train\glioma\Tr-gl_1189.jpg
raw\train\glioma\Tr-gl_1190.jpg,glioma,processed\train\glioma\Tr-gl_1190.jpg
raw\train\glioma\Tr-gl_1191.jpg,glioma,processed\train\glioma\Tr-gl_1191.jpg
raw\train\glioma\Tr-gl_1192.jpg,glioma,processed\train\glioma\Tr-gl_1192.jpg
raw\train\glioma\Tr-gl_1193.jpg,glioma,processed\train\glioma\Tr-gl_1193.jpg
raw\train\glioma\Tr-gl_1194.jpg,glioma,processed\train\glioma\Tr-gl_1194.jpg
raw\train\glioma\Tr-gl_1195.jpg,glioma,processed\train\glioma\Tr-gl_1195.jpg
raw\train\glioma\Tr-gl_1196.jpg,glioma,processed\train\glioma\Tr-gl_1196.jpg
raw\train\glioma\Tr-gl_1197.jpg,glioma,processed\train\glioma\Tr-gl_1197.jpg
raw\train\glioma\Tr-gl_1198.jpg,glioma,processed\train\glioma\Tr-gl_1198.jpg
raw\train\glioma\Tr-gl_1199.jpg,glioma,processed\train\glioma\Tr-gl_1199.jpg
raw\train\glioma\Tr-gl_1200.jpg,glioma,processed\train\glioma\Tr-gl_1200.jpg
raw\train\glioma\Tr-gl_1201.jpg,glioma,processed\train\glioma\Tr-gl_1201.jpg
raw\train\glioma\Tr-gl_1202.jpg,glioma,processed\train\glioma\Tr-gl_1202.jpg
raw\train\glioma\Tr-gl_1203.jpg,glioma,processed\train\glioma\Tr-gl_1203.jpg
raw\train\glioma\Tr-gl_1204.jpg,glioma,processed\train\glioma\Tr-gl_1204.jpg
raw\train\glioma\Tr-gl_1205.jpg,glioma,processed\train\glioma\Tr-gl_1205.jpg
raw\train\glioma\Tr-gl_1206.jpg,glioma,processed\train\glioma\Tr-gl_1206.jpg
raw\train\glioma\Tr-gl_1207.jpg,glioma,processed\train\glioma\Tr-gl_1207.jpg
raw\train\glioma\Tr-gl_1208.jpg,glioma,processed\train\glioma\Tr-gl_1208.jpg
raw\train\glioma\Tr-gl_1209.jpg,glioma,processed\train\glioma\Tr-gl_1209.jpg
raw\train\glioma\Tr-gl_1210.jpg,glioma,processed\train\glioma\Tr-gl_1210.jpg
raw\train\glioma\Tr-gl_1211.jpg,glioma,processed\train\glioma\Tr-gl_1211.jpg
raw\train\glioma\Tr-gl_1212.jpg,glioma,processed\train\glioma\Tr-gl_1212.jpg
raw\train\glioma\Tr-gl_1213.jpg,glioma,processed\train\glioma\Tr-gl_1213.jpg
raw\train\glioma\Tr-gl_1214.jpg,glioma,processed\train\glioma\Tr-gl_1214.jpg
raw\train\glioma\Tr-gl_1215.jpg,glioma,processed\train\glioma\Tr-gl_1215.jpg
raw\train\glioma\Tr-gl_1216.jpg,glioma,processed\train\glioma\Tr-gl_1216.jpg
raw\train\glioma\Tr-gl_1217.jpg,glioma,processed\train\glioma\Tr-gl_1217.jpg
raw\train\glioma\Tr-gl_1218.jpg,glioma,processed\train\glioma\Tr-gl_1218.jpg
raw\train\glioma\Tr-gl_1219.jpg,glioma,processed\train\glioma\Tr-gl_1219.jpg
raw\train\glioma\Tr-gl_1220.jpg,glioma,processed\train\glioma\Tr-gl_1220.jpg
raw\train\glioma\Tr-gl_1221.jpg,glioma,processed\train\glioma\Tr-gl_1221.jpg
raw\train\glioma\Tr-gl_1222.jpg,glioma,processed\train\glioma\Tr-gl_1222.jpg
raw\train\glioma\Tr-gl_1223.jpg,glioma,processed\train\glioma\Tr-gl_1223.jpg
raw\train\glioma\Tr-gl_1224.jpg,glioma,processed\train\glioma\Tr-gl_1224.jpg
raw\train\glioma\Tr-gl_1225.jpg,glioma,processed\train\glioma\Tr-gl_1225.jpg
raw\train\glioma\Tr-gl_1226.jpg,glioma,processed\train\glioma\Tr-gl_1226.jpg
raw\train\glioma\Tr-gl_1227.jpg,glioma,processed\train\glioma\Tr-gl_1227.jpg
raw\train\glioma\Tr-gl_1228.jpg,glioma,processed\train\glioma\Tr-gl_1228.jpg
raw\train\glioma\Tr-gl_1229.jpg,glioma,processed\train\glioma\Tr-gl_1229.jpg
raw\train\glioma\Tr-gl_1230.jpg,glioma,processed\train\glioma\Tr-gl_1230.jpg
raw\train\glioma\Tr-gl_1231.jpg,glioma,processed\train\glioma\Tr-gl_1231.jpg
raw\train\glioma\Tr-gl_1232.jpg,glioma,processed\train\glioma\Tr-gl_1232.jpg
raw\train\glioma\Tr-gl_1233.jpg,glioma,processed\train\glioma\Tr-gl_1233.jpg
raw\train\glioma\Tr-gl_1234.jpg,glioma,processed\train\glioma\Tr-gl_1234.jpg
raw\train\glioma\Tr-gl_1235.jpg,glioma,processed\train\glioma\Tr-gl_1235.jpg
raw\train\glioma\Tr-gl_1236.jpg,glioma,processed\train\glioma\Tr-gl_1236.jpg
raw\train\glioma\Tr-gl_1237.jpg,glioma,processed\train\glioma\Tr-gl_1237.jpg
raw\train\glioma\Tr-gl_1238.jpg,glioma,processed\train\glioma\Tr-gl_1238.jpg
raw\train\glioma\Tr-gl_1239.jpg,glioma,processed\train\glioma\Tr-gl_1239.jpg
raw\train\glioma\Tr-gl_1240.jpg,glioma,processed\train\glioma\Tr-gl_1240.jpg
raw\train\glioma\Tr-gl_1241.jpg,glioma,processed\train\glioma\Tr-gl_1241.jpg
raw\train\glioma\Tr-gl_1242.jpg,glioma,processed\train\glioma\Tr-gl_1242.jpg
raw\train\glioma\Tr-gl_1243.jpg,glioma,processed\train\glioma\Tr-gl_1243.jpg
raw\train\glioma\Tr-gl_1244.jpg,glioma,processed\train\glioma\Tr-gl_1244.jpg
raw\train\glioma\Tr-gl_1245.jpg,glioma,processed\train\glioma\Tr-gl_1245.jpg
raw\train\glioma\Tr-gl_1246.jpg,glioma,processed\train\glioma\Tr-gl_1246.jpg
raw\train\glioma\Tr-gl_1247.jpg,glioma,processed\train\glioma\Tr-gl_1247.jpg
raw\train\glioma\Tr-gl_1248.jpg,glioma,processed\train\glioma\Tr-gl_1248.jpg
raw\train\glioma\Tr-gl_1249.jpg,glioma,processed\train\glioma\Tr-gl_1249.jpg
raw\train\glioma\Tr-gl_1250.jpg,glioma,processed\train\glioma\Tr-gl_1250.jpg
raw\train\glioma\Tr-gl_1251.jpg,glioma,processed\train\glioma\Tr-gl_1251.jpg
raw\train\glioma\Tr-gl_1252.jpg,glioma,processed\train\glioma\Tr-gl_1252.jpg
raw\train\glioma\Tr-gl_1253.jpg,glioma,processed\train\glioma\Tr-gl_1253.jpg
raw\train\glioma\Tr-gl_1254.jpg,glioma,processed\train\glioma\Tr-gl_1254.jpg
raw\train\glioma\Tr-gl_1255.jpg,glioma,processed\train\glioma\Tr-gl_1255.jpg
raw\train\glioma\Tr-gl_1256.jpg,glioma,processed\train\glioma\Tr-gl_1256.jpg
raw\train\glioma\Tr-gl_1257.jpg,glioma,processed\train\glioma\Tr-gl_1257.jpg
raw\train\glioma\Tr-gl_1258.jpg,glioma,processed\train\glioma\Tr-gl_1258.jpg
raw\train\glioma\Tr-gl_1259.jpg,glioma,processed\train\glioma\Tr-gl_1259.jpg
raw\train\glioma\Tr-gl_1260.jpg,glioma,processed\train\glioma\Tr-gl_1260.jpg
raw\train\glioma\Tr-gl_1261.jpg,glioma,processed\train\glioma\Tr-gl_1261.jpg
raw\train\glioma\Tr-gl_1262.jpg,glioma,processed\train\glioma\Tr-gl_1262.jpg
raw\train\glioma\Tr-gl_1263.jpg,glioma,processed\train\glioma\Tr-gl_1263.jpg
raw\train\glioma\Tr-gl_1264.jpg,glioma,processed\train\glioma\Tr-gl_1264.jpg
raw\train\glioma\Tr-gl_1265.jpg,glioma,processed\train\glioma\Tr-gl_1265.jpg
raw\train\glioma\Tr-gl_1266.jpg,glioma,processed\train\glioma\Tr-gl_1266.jpg
raw\train\glioma\Tr-gl_1267.jpg,glioma,processed\train\glioma\Tr-gl_1267.jpg
raw\train\glioma\Tr-gl_1268.jpg,glioma,processed\train\glioma\Tr-gl_1268.jpg
raw\train\glioma\Tr-gl_1269.jpg,glioma,processed\train\glioma\Tr-gl_1269.jpg
raw\train\glioma\Tr-gl_1270.jpg,glioma,processed\train\glioma\Tr-gl_1270.jpg
raw\train\glioma\Tr-gl_1271.jpg,glioma,processed\train\glioma\Tr-gl_1271.jpg
raw\train\glioma\Tr-gl_1272.jpg,glioma,processed\train\glioma\Tr-gl_1272.jpg
raw\train\glioma\Tr-gl_1273.jpg,glioma,processed\train\glioma\Tr-gl_1273.jpg
raw\train\glioma\Tr-gl_1274.jpg,glioma,processed\train\glioma\Tr-gl_1274.jpg
raw\train\glioma\Tr-gl_1275.jpg,glioma,processed\train\glioma\Tr-gl_1275.jpg
raw\train\glioma\Tr-gl_1276.jpg,glioma,processed\train\glioma\Tr-gl_1276.jpg
raw\train\glioma\Tr-gl_1277.jpg,glioma,processed\train\glioma\Tr-gl_1277.jpg
raw\train\glioma\Tr-gl_1278.jpg,glioma,processed\train\glioma\Tr-gl_1278.jpg
raw\train\glioma\Tr-gl_1279.jpg,glioma,processed\train\glioma\Tr-gl_1279.jpg
raw\train\glioma\Tr-gl_1280.jpg,glioma,processed\train\glioma\Tr-gl_1280.jpg
raw\train\glioma\Tr-gl_1281.jpg,glioma,processed\train\glioma\Tr-gl_1281.jpg
raw\train\glioma\Tr-gl_1282.jpg,glioma,processed\train\glioma\Tr-gl_1282.jpg
raw\train\glioma\Tr-gl_1283.jpg,glioma,processed\train\glioma\Tr-gl_1283.jpg
raw\train\glioma\Tr-gl_1284.jpg,glioma,processed\train\glioma\Tr-gl_1284.jpg
raw\train\glioma\Tr-gl_1285.jpg,glioma,processed\train\glioma\Tr-gl_1285.jpg
raw\train\glioma\Tr-gl_1286.jpg,glioma,processed\train\glioma\Tr-gl_1286.jpg
raw\train\glioma\Tr-gl_1287.jpg,glioma,processed\train\glioma\Tr-gl_1287.jpg
raw\train\glioma\Tr-gl_1288.jpg,glioma,processed\train\glioma\Tr-gl_1288.jpg
raw\train\glioma\Tr-gl_1289.jpg,glioma,processed\train\glioma\Tr-gl_1289.jpg
raw\train\glioma\Tr-gl_1290.jpg,glioma,processed\train\glioma\Tr-gl_1290.jpg
raw\train\glioma\Tr-gl_1291.jpg,glioma,processed\train\glioma\Tr-gl_1291.jpg
raw\train\glioma\Tr-gl_1292.jpg,glioma,processed\train\glioma\Tr-gl_1292.jpg
raw\train\glioma\Tr-gl_1293.jpg,glioma,processed\train\glioma\Tr-gl_1293.jpg
raw\train\glioma\Tr-gl_1294.jpg,glioma,processed\train\glioma\Tr-gl_1294.jpg
raw\train\glioma\Tr-gl_1295.jpg,glioma,processed\train\glioma\Tr-gl_1295.jpg
raw\train\glioma\Tr-gl_1296.jpg,glioma,processed\train\glioma\Tr-gl_1296.jpg
raw\train\glioma\Tr-gl_1297.jpg,glioma,processed\train\glioma\Tr-gl_1297.jpg
raw\train\glioma\Tr-gl_1298.jpg,glioma,processed\train\glioma\Tr-gl_1298.jpg
raw\train\glioma\Tr-gl_1299.jpg,glioma,processed\train\glioma\Tr-gl_1299.jpg
raw\train\glioma\Tr-gl_1300.jpg,glioma,processed\train\glioma\Tr-gl_1300.jpg
raw\train\glioma\Tr-gl_1301.jpg,glioma,processed\train\glioma\Tr-gl_1301.jpg
raw\train\glioma\Tr-gl_1302.jpg,glioma,processed\train\glioma\Tr-gl_1302.jpg
raw\train\glioma\Tr-gl_1303.jpg,glioma,processed\train\glioma\Tr-gl_1303.jpg
raw\train\glioma\Tr-gl_1304.jpg,glioma,processed\train\glioma\Tr-gl_1304.jpg
raw\train\glioma\Tr-gl_1305.jpg,glioma,processed\train\glioma\Tr-gl_1305.jpg
raw\train\glioma\Tr-gl_1306.jpg,glioma,processed\train\glioma\Tr-gl_1306.jpg
raw\train\glioma\Tr-gl_1307.jpg,glioma,processed\train\glioma\Tr-gl_1307.jpg
raw\train\glioma\Tr-gl_1308.jpg,glioma,processed\train\glioma\Tr-gl_1308.jpg
raw\train\glioma\Tr-gl_1309.jpg,glioma,processed\train\glioma\Tr-gl_1309.jpg
raw\train\glioma\Tr-gl_1310.jpg,glioma,processed\train\glioma\Tr-gl_1310.jpg
raw\train\glioma\Tr-gl_1311.jpg,glioma,processed\train\glioma\Tr-gl_1311.jpg
raw\train\glioma\Tr-gl_1312.jpg,glioma,processed\train\glioma\Tr-gl_1312.jpg
raw\train\glioma\Tr-gl_1313.jpg,glioma,processed\train\glioma\Tr-gl_1313.jpg
raw\train\glioma\Tr-gl_1314.jpg,glioma,processed\train\glioma\Tr-gl_1314.jpg
raw\train\glioma\Tr-gl_1315.jpg,glioma,processed\train\glioma\Tr-gl_1315.jpg
raw\train\glioma\Tr-gl_1316.jpg,glioma,processed\train\glioma\Tr-gl_1316.jpg
raw\train\glioma\Tr-gl_1317.jpg,glioma,processed\train\glioma\Tr-gl_1317.jpg
raw\train\glioma\Tr-gl_1318.jpg,glioma,processed\train\glioma\Tr-gl_1318.jpg
raw\train\glioma\Tr-gl_1319.jpg,glioma,processed\train\glioma\Tr-gl_1319.jpg
raw\train\glioma\Tr-gl_1320.jpg,glioma,processed\train\glioma\Tr-gl_1320.jpg
raw\train\meningioma\Tr-meTr_0000.jpg,meningioma,processed\train\meningioma\Tr-meTr_0000.jpg
raw\train\meningioma\Tr-meTr_0001.jpg,meningioma,processed\train\meningioma\Tr-meTr_0001.jpg
raw\train\meningioma\Tr-meTr_0002.jpg,meningioma,processed\train\meningioma\Tr-meTr_0002.jpg
raw\train\meningioma\Tr-meTr_0003.jpg,meningioma,processed\train\meningioma\Tr-meTr_0003.jpg
raw\train\meningioma\Tr-meTr_0004.jpg,meningioma,processed\train\meningioma\Tr-meTr_0004.jpg
raw\train\meningioma\Tr-meTr_0005.jpg,meningioma,processed\train\meningioma\Tr-meTr_0005.jpg
raw\train\meningioma\Tr-meTr_0006.jpg,meningioma,processed\train\meningioma\Tr-meTr_0006.jpg
raw\train\meningioma\Tr-meTr_0007.jpg,meningioma,processed\train\meningioma\Tr-meTr_0007.jpg
raw\train\meningioma\Tr-meTr_0008.jpg,meningioma,processed\train\meningioma\Tr-meTr_0008.jpg
raw\train\meningioma\Tr-meTr_0009.jpg,meningioma,processed\train\meningioma\Tr-meTr_0009.jpg
raw\train\meningioma\Tr-me_0010.jpg,meningioma,processed\train\meningioma\Tr-me_0010.jpg
raw\train\meningioma\Tr-me_0011.jpg,meningioma,processed\train\meningioma\Tr-me_0011.jpg
raw\train\meningioma\Tr-me_0012.jpg,meningioma,processed\train\meningioma\Tr-me_0012.jpg
raw\train\meningioma\Tr-me_0013.jpg,meningioma,processed\train\meningioma\Tr-me_0013.jpg
raw\train\meningioma\Tr-me_0014.jpg,meningioma,processed\train\meningioma\Tr-me_0014.jpg
raw\train\meningioma\Tr-me_0015.jpg,meningioma,processed\train\meningioma\Tr-me_0015.jpg
raw\train\meningioma\Tr-me_0016.jpg,meningioma,processed\train\meningioma\Tr-me_0016.jpg
raw\train\meningioma\Tr-me_0017.jpg,meningioma,processed\train\meningioma\Tr-me_0017.jpg
raw\train\meningioma\Tr-me_0018.jpg,meningioma,processed\train\meningioma\Tr-me_0018.jpg
raw\train\meningioma\Tr-me_0019.jpg,meningioma,processed\train\meningioma\Tr-me_0019.jpg
raw\train\meningioma\Tr-me_0020.jpg,meningioma,processed\train\meningioma\Tr-me_0020.jpg
raw\train\meningioma\Tr-me_0021.jpg,meningioma,processed\train\meningioma\Tr-me_0021.jpg
raw\train\meningioma\Tr-me_0022.jpg,meningioma,processed\train\meningioma\Tr-me_0022.jpg
raw\train\meningioma\Tr-me_0023.jpg,meningioma,processed\train\meningioma\Tr-me_0023.jpg
raw\train\meningioma\Tr-me_0024.jpg,meningioma,processed\train\meningioma\Tr-me_0024.jpg
raw\train\meningioma\Tr-me_0025.jpg,meningioma,processed\train\meningioma\Tr-me_0025.jpg
raw\train\meningioma\Tr-me_0026.jpg,meningioma,processed\train\meningioma\Tr-me_0026.jpg
raw\train\meningioma\Tr-me_0027.jpg,meningioma,processed\train\meningioma\Tr-me_0027.jpg
raw\train\meningioma\Tr-me_0028.jpg,meningioma,processed\train\meningioma\Tr-me_0028.jpg
raw\train\meningioma\Tr-me_0029.jpg,meningioma,processed\train\meningioma\Tr-me_0029.jpg
raw\train\meningioma\Tr-me_0030.jpg,meningioma,processed\train\meningioma\Tr-me_0030.jpg
raw\train\meningioma\Tr-me_0031.jpg,meningioma,processed\train\meningioma\Tr-me_0031.jpg
raw\train\meningioma\Tr-me_0032.jpg,meningioma,processed\train\meningioma\Tr-me_0032.jpg
raw\train\meningioma\Tr-me_0033.jpg,meningioma,processed\train\meningioma\Tr-me_0033.jpg
raw\train\meningioma\Tr-me_0034.jpg,meningioma,processed\train\meningioma\Tr-me_0034.jpg
raw\train\meningioma\Tr-me_0035.jpg,meningioma,processed\train\meningioma\Tr-me_0035.jpg
raw\train\meningioma\Tr-me_0036.jpg,meningioma,processed\train\meningioma\Tr-me_0036.jpg
raw\train\meningioma\Tr-me_0037.jpg,meningioma,processed\train\meningioma\Tr-me_0037.jpg
raw\train\meningioma\Tr-me_0038.jpg,meningioma,processed\train\meningioma\Tr-me_0038.jpg
raw\train\meningioma\Tr-me_0039.jpg,meningioma,processed\train\meningioma\Tr-me_0039.jpg
raw\train\meningioma\Tr-me_0040.jpg,meningioma,processed\train\meningioma\Tr-me_0040.jpg
raw\train\meningioma\Tr-me_0041.jpg,meningioma,processed\train\meningioma\Tr-me_0041.jpg
raw\train\meningioma\Tr-me_0042.jpg,meningioma,processed\train\meningioma\Tr-me_0042.jpg
raw\train\meningioma\Tr-me_0043.jpg,meningioma,processed\train\meningioma\Tr-me_0043.jpg
raw\train\meningioma\Tr-me_0044.jpg,meningioma,processed\train\meningioma\Tr-me_0044.jpg
raw\train\meningioma\Tr-me_0045.jpg,meningioma,processed\train\meningioma\Tr-me_0045.jpg
raw\train\meningioma\Tr-me_0046.jpg,meningioma,processed\train\meningioma\Tr-me_0046.jpg
raw\train\meningioma\Tr-me_0047.jpg,meningioma,processed\train\meningioma\Tr-me_0047.jpg
raw\train\meningioma\Tr-me_0048.jpg,meningioma,processed\train\meningioma\Tr-me_0048.jpg
raw\train\meningioma\Tr-me_0049.jpg,meningioma,processed\train\meningioma\Tr-me_0049.jpg
raw\train\meningioma\Tr-me_0050.jpg,meningioma,processed\train\meningioma\Tr-me_0050.jpg
raw\train\meningioma\Tr-me_0051.jpg,meningioma,processed\train\meningioma\Tr-me_0051.jpg
raw\train\meningioma\Tr-me_0052.jpg,meningioma,processed\train\meningioma\Tr-me_0052.jpg
raw\train\meningioma\Tr-me_0053.jpg,meningioma,processed\train\meningioma\Tr-me_0053.jpg
raw\train\meningioma\Tr-me_0054.jpg,meningioma,processed\train\meningioma\Tr-me_0054.jpg
raw\train\meningioma\Tr-me_0055.jpg,meningioma,processed\train\meningioma\Tr-me_0055.jpg
raw\train\meningioma\Tr-me_0056.jpg,meningioma,processed\train\meningioma\Tr-me_0056.jpg
raw\train\meningioma\Tr-me_0057.jpg,meningioma,processed\train\meningioma\Tr-me_0057.jpg
raw\train\meningioma\Tr-me_0058.jpg,meningioma,processed\train\meningioma\Tr-me_0058.jpg
raw\train\meningioma\Tr-me_0059.jpg,meningioma,processed\train\meningioma\Tr-me_0059.jpg
raw\train\meningioma\Tr-me_0060.jpg,meningioma,processed\train\meningioma\Tr-me_0060.jpg
raw\train\meningioma\Tr-me_0061.jpg,meningioma,processed\train\meningioma\Tr-me_0061.jpg
raw\train\meningioma\Tr-me_0062.jpg,meningioma,processed\train\meningioma\Tr-me_0062.jpg
raw\train\meningioma\Tr-me_0063.jpg,meningioma,processed\train\meningioma\Tr-me_0063.jpg
raw\train\meningioma\Tr-me_0064.jpg,meningioma,processed\train\meningioma\Tr-me_0064.jpg
raw\train\meningioma\Tr-me_0065.jpg,meningioma,processed\train\meningioma\Tr-me_0065.jpg
raw\train\meningioma\Tr-me_0066.jpg,meningioma,processed\train\meningioma\Tr-me_0066.jpg
raw\train\meningioma\Tr-me_0067.jpg,meningioma,processed\train\meningioma\Tr-me_0067.jpg
raw\train\meningioma\Tr-me_0068.jpg,meningioma,processed\train\meningioma\Tr-me_0068.jpg
raw\train\meningioma\Tr-me_0069.jpg,meningioma,processed\train\meningioma\Tr-me_0069.jpg
raw\train\meningioma\Tr-me_0070.jpg,meningioma,processed\train\meningioma\Tr-me_0070.jpg
raw\train\meningioma\Tr-me_0071.jpg,meningioma,processed\train\meningioma\Tr-me_0071.jpg
raw\train\meningioma\Tr-me_0072.jpg,meningioma,processed\train\meningioma\Tr-me_0072.jpg
raw\train\meningioma\Tr-me_0073.jpg,meningioma,processed\train\meningioma\Tr-me_0073.jpg
raw\train\meningioma\Tr-me_0074.jpg,meningioma,processed\train\meningioma\Tr-me_0074.jpg
raw\train\meningioma\Tr-me_0075.jpg,meningioma,processed\train\meningioma\Tr-me_0075.jpg
